Website, Report Type, Average
 coastalhazards.uprm.edu,Old Report,2.17
 www.cobo.com,Old Report,2.80
 coinsandcanada.com,Old Report,2.63
 comm.osu.edu,Old Report,3.17
 concertsinbudapest.com,Old Report,2.84
 www.conductortech.com,Old Report,2.54
 cocone,connect.co.jp,2.20
 conservative,news.org,2.65
 accounts.google.com,Old Report,2.00
 copypastatext.com,Old Report,2.50
 coq.inria.fr,Old Report,2.40
 corsetiere.net,Old Report,2.60
 www.coveringcfl.net,Old Report,2.07
 journals.sagepub.com,Old Report,3.17
 craigkeener.com,Old Report,2.89
 crocodilian.com,Old Report,2.57
 www.crssd.com,Old Report,2.14
 www.curvyyoga.com,Old Report,2.86
 d4donline.com,Old Report,3.00
 www.dashbot.io,Old Report,2.69
 davidgolding.com,Old Report,2.86
 dcchs.org,Old Report,2.44
 dcresource.com,Old Report,2.17
 dealer.olxautos.com.co,Old Report,2.46
 deepgenes.com,Old Report,2.78
 demetrimusic.com,Old Report,2.45
 designerspics.com,Old Report,2.50
 developer.payjunction.com,Old Report,2.80
 dieteticadigital.net,Old Report,2.88
 www.disfrutatokio.com,Old Report,2.84
 www.diskpart.com,Old Report,2.62
 libraries.indiana.edu,Old Report,3.80
 dmiinternational.org,Old Report,3.39
 dobanevinosti.blogspot.com,Old Report,2.49
 docs.behat.org,Old Report,2.71
 dogcastradio.com,Old Report,2.81
 www.dogodilose.com,Old Report,2.25
 donpedrobrooklyn.com,Old Report,2.50
 dontextraditeassange.com,Old Report,2.76
 dorianneto.com,Old Report,1.00
 www.dotolim.com,Old Report,3.25
 dou.ua,Old Report,3.08
 dozsurvival.com,Old Report,3.00
 drakon,editor.sourceforge.net,3.11
 drgo.us,Old Report,2.92
 dtf.ru,Old Report,2.27
 ducugames.com,Old Report,2.78
 duplocloud.com,Old Report,2.85
 e.huawei.com,Old Report,2.26
 earthwatch.org,Old Report,2.75
 eco.int,Old Report,2.72
 www.econt.com,Old Report,2.60
 www.edfilmfest.org.uk,Old Report,2.76
 www.edu,librarian.com,2.83
 ejcotopeni2022.microplustimingservices.com,Old Report,3.25
 eldalamberon.com,Old Report,2.25
 eltaxi.app,Old Report,2.72
 elteatrocampesino.com,Old Report,2.18
 embedded.lt,Old Report,2.83
 www.en.eghtesadonline.com,Old Report,2.66
 engineering.klarna.com,Old Report,2.79
 www.engineersireland.ie,Old Report,2.26
 www.ericksonseniorliving.com,Old Report,2.56
 www.ertopen.com,Old Report,2.84
 www.esnog.net,Old Report,2.45
 www.estatediamondjewelry.com,Old Report,2.12
 ettagroup.ru,Old Report,3.11
 journals.openedition.org,Old Report,2.39
 www.georgetown.edu,Old Report,3.00
 everyday,beat.org,2.33
 www.eyehealthweb.com,Old Report,3.58
 www.familytravel.com,Old Report,2.41
 farm1.staticflickr.com,Old Report,2.29
 www.fddb.org,Old Report,2.94
 fhrc.huji.ac.il,Old Report,2.91
 finanswebde.com,Old Report,2.97
 flashmob.dileque.si,Old Report,2.70
 www.flseagrant.org,Old Report,2.41
 www.focusmate.com,Old Report,3.85
 folketidende.dk,Old Report,3.05
 followingtheninth.com,Old Report,2.43
 www.formahouse.co.uk,Old Report,2.74
 www.fortadpays.com,Old Report,3.00
 www.fortbendchristian.org,Old Report,2.00
 www.forwardjanesville.com,Old Report,2.36
 foxsportswest.com,Old Report,2.50
 freemodelfoundry.com,Old Report,2.78
 www.freshworks.com,Old Report,2.88
 www.frostburg.edu,Old Report,2.34
 fruitglory.com,Old Report,3.00
 fuldamobil.de,Old Report,2.45
 www.funnycide.com,Old Report,3.26
 gadaibpkbmobil.finance,Old Report,2.60
 games.ironequal.com,Old Report,2.33
 garbageplate.com,Old Report,2.40
 gen.xyz,Old Report,2.15
 genomeribbon.com,Old Report,2.38
 www.chef.io,Old Report,2.53
 getdetox.me,Old Report,2.71
 www.giftcard.cl,Old Report,2.97
 ginolabo.com,Old Report,3.00
 www.globerunner.org,Old Report,3.21
 gloubik.info,Old Report,2.64
 golistelecom.com,Old Report,2.20
 www.golm.org.uk,Old Report,2.72
 graceelizabeths.com,Old Report,2.37
 grainger.tngenealogy.net,Old Report,2.26
 www.greatriverconference.org,Old Report,2.92
 greekshadows.com,Old Report,2.00
 www.greengathering.org.uk,Old Report,2.47
 abbeyspavingsealcoating.com,Old Report,2.77
 grimsoulgame.com,Old Report,2.36
 group.canarywharf.com,Old Report,1.68
 www.grow,it,2.61
 www.growveg.com,Old Report,2.81
 gudangtekno.web.id,Old Report,2.57
 guia.melhoresdestinos.com.br,Old Report,2.78
 www.hammacher.com,Old Report,1.81
 www.hanshofmann.org,Old Report,2.83
 www.happyfoto.de,Old Report,2.63
 harbour.github.io,Old Report,2.93
 haryanaassembly.gov.in,Old Report,2.29
 haycc.play,cricket.com,2.63
 hc.unicamp.br,Old Report,3.10
 www.healthrangerstore.com,Old Report,2.74
 itsupport.cs.uvic.ca,Old Report,2.17
 henan.china.com.cn,Old Report,3.08
 hgic.clemson.edu,Old Report,2.58
 www.hiberno,english.com,3.00
 hps.ilpartnership.org,Old Report,2.65
 www.hiringourheroes.org,Old Report,2.96
 historicdetroit.org,Old Report,3.50
 historicgames.com,Old Report,2.55
 historykon.pl,Old Report,2.61
 hkt,starhomecall.com,2.81
 homemade,recipes.blogspot.com,2.73
 sps.honeywell.com,Old Report,2.00
 honesttopaws.com,Old Report,2.65
 www.hooters.com,Old Report,2.73
 www.hudsonvalleyjazzfest.org,Old Report,2.94
 hungerford.uk.net,Old Report,2.25
 huobi.com.ru,Old Report,2.00
 i,donline.com,2.63
 ia802905.us.archive.org,Old Report,1.50
 iais.org.my,Old Report,2.71
 www.iask.ca,Old Report,2.05
 www.ibme.uzh.ch,Old Report,2.67
 www.icaa.cc,Old Report,3.05
 ichriss.ccarh.org,Old Report,2.33
 icpc.global,Old Report,3.00
 id.rsqtechnologies.com,Old Report,1.50
 ilovelakemac.com,Old Report,2.40
 im.qq.com,Old Report,2.63
 impact.ref.ac.uk,Old Report,2.53
 inas,fid.org,2.93
 www.informath.org,Old Report,2.33
 inmos.com,Old Report,3.00
 insectbraindb.org,Old Report,2.98
 insideathletic.com,Old Report,2.71
 inspiredhealthmed.com,Old Report,2.54
 www.interboro.com,Old Report,2.87
 www.intouchuk.org,Old Report,1.50
 inuidea.com,Old Report,2.54
 www.ipsoft.ba,Old Report,2.95
 iran.outrightinternational.org,Old Report,2.68
 irishtatler.com,Old Report,2.37
 isae3402.co.uk,Old Report,3.11
 islands.scot,Old Report,2.33
 israpost.com,Old Report,2.87
 www.istanbulyelken.org.tr,Old Report,2.66
 isw3.naist.jp,Old Report,2.92
 itarashop.ng,Old Report,2.84
 www.itnewsafrica.com,Old Report,2.44
 itsconstruction.co.uk,Old Report,2.30
 ivoilic.com,Old Report,2.71
 ixpe.msfc.nasa.gov,Old Report,2.52
 janestyle.net,Old Report,2.00
 www.jeccomposites.com,Old Report,2.79
 jenniferperryman.com,Old Report,2.44
 jobs.gsk.com,Old Report,2.60
 jpit.uk,Old Report,2.07
 www.jp2.org,Old Report,2.31
 www.jssj.org,Old Report,2.65
 jufjannieapps.nl,Old Report,1.95
 juliebestry.com,Old Report,2.01
 kanjikana.com,Old Report,2.00
 kb.cf7skins.com,Old Report,2.60
 kellsirish.com,Old Report,2.00
 www.kellywillis.com,Old Report,2.93
 kenkou,wakayama.jp,2.56
 kevinschwantz.com,Old Report,2.25
 khanbank.com,Old Report,2.32
 www.kicad.org,Old Report,2.00
 king.myapp.com,Old Report,2.50
 kingstonbeta.com,Old Report,2.45
 kojipkgs.fedoraproject.org,Old Report,1.83
 kpopherald.koreaherald.com,Old Report,2.96
 kreditech.com,Old Report,2.55
 lahistoryarchive.org,Old Report,2.29
 lametric.com,Old Report,2.84
 lampa.cl,Old Report,2.54
 laplacem.vtcgame.vn,Old Report,2.49
 www.lawterlaw.com,Old Report,2.03
 www.lgfcu.org,Old Report,2.94
 libano.org.br,Old Report,2.25
 www.lifepoint.com,Old Report,2.51
 www.lightstation.com,Old Report,2.76
 live4.io,Old Report,3.24
 loanscalc.org,Old Report,2.60
 login.xecurify.com,Old Report,2.22
 londonwaldorf.ca,Old Report,2.29
 www.lorealcontentpro.com,Old Report,2.16
 ls,extrusion.eu,2.76
 lukeo.cs.illinois.edu,Old Report,2.87
 lutris.com,Old Report,4.00
 lynxartcollection.com,Old Report,2.10
 m.valleyevents.ca,Old Report,2.38
 www.macrossworld.com,Old Report,2.17
 madan.bg,Old Report,2.90
 www.maddiesfund.org,Old Report,2.76
 www.mailboxnearme.net,Old Report,2.93
 malaria.jhsph.edu,Old Report,1.79
 mannersmith.com,Old Report,3.00
 www.mappiamo.org,Old Report,2.61
 www.marincounty.org,Old Report,2.00
 www.marom.hu,Old Report,2.85
 martinmch.com,Old Report,2.17
 masoftware.org,Old Report,2.70
 www.massmedic.com,Old Report,3.19
 mateuszcholewka.com,Old Report,2.94
 math.nist.gov,Old Report,2.00
 www.maxgazze.it,Old Report,2.64
 mbq,tmt.org,1.86
 www.mediendenk.de,Old Report,2.33
 terryaspinall.com,Old Report,3.33
 mhikes.com,Old Report,2.44
 www.michiganmaple.org,Old Report,2.64
 migracion.gob.bo,Old Report,2.35
 www.mim,soft.com,2.86
 www.minnur.com,Old Report,2.00
 misms.net,Old Report,2.57
 mix1043fm.com,Old Report,2.87
 mod.studio,Old Report,2.73
 modeleau.fsg.ulaval.ca,Old Report,2.41
 www.shopmoment.com,Old Report,3.49
 monachuslex.com,Old Report,3.01
 www.monacostatistics.mc,Old Report,2.80
 moonplay.online,Old Report,2.34
 moore,sc,3.00
 www.motorola.co.uk,Old Report,2.81
 www.mpeoplemusic.com,Old Report,2.93
 mrk.mk,Old Report,2.57
 mt.ro,Old Report,2.14
 munsterland.net,Old Report,3.29
 www.amaga.org.au,Old Report,2.80
 music,facts.ru,2.27
 musiconthedot.com,Old Report,2.69
 www.siop.org,Old Report,2.60
 napak.com,Old Report,3.00
 naprice.com,Old Report,2.59
 nationalsheep.org.uk,Old Report,3.25
 nattou.org,Old Report,2.60
 www.nesdev.org,Old Report,2.11
 www.newsounds.org,Old Report,2.67
 www.pa,tec.org,2.46
 newuniversity.org,Old Report,2.32
 nghenhac123.com,Old Report,2.55
 nic.xyz,Old Report,2.29
 
 www.niguelshores.org,Old Report,2.57
 www.nistara.net,Old Report,3.21
 noliesradio.org,Old Report,2.32
 nooriworld.net,Old Report,2.55
 notdeadyet.org,Old Report,1.60
 www.ntdtv.com,Old Report,1.39
 numero.com.cn,Old Report,3.40
 www.nwabr.org,Old Report,2.25
 oheuropa.com,Old Report,2.51
 www.oostende.be,Old Report,2.00
 openhome.alipay.com,Old Report,2.69
 www.openswr.org,Old Report,3.04
 
 opinion22.com.ar,Old Report,2.85
 www.orleansforever.com,Old Report,2.86
 ossininglibrary.org,Old Report,2.86
 christensen.asu.edu,Old Report,3.03
 ouroboros.audio,Old Report,2.78
 outhousetickets.com,Old Report,2.91
 outofthefog.net,Old Report,2.55
 ozwhitelufc.net.au,Old Report,2.60
 p,ramlee.com,2.75
 www.pacsoa.org.au,Old Report,2.00
 pao.qq.com,Old Report,2.35
 paoloconte.it,Old Report,2.00
 pastebin.mozilla.org,Old Report,3.25
 www.pcpmusic.com,Old Report,2.11
 pctonline.com,Old Report,3.27
 perheyritys.fi,Old Report,2.95
 www.digitale,sammlungen.de,3.00
 phxart.org,Old Report,2.08
 piar.hu,Old Report,2.50
 pigfarmer.gr,Old Report,2.73
 
 www.placergroup.com,Old Report,3.00
 planetark.org,Old Report,2.56
 gigoapp.gendagigo.jp,Old Report,2.00
 playfordspast.recollect.net.au,Old Report,2.81
 engagemedia.org,Old Report,2.48
 pnwphotoblog.com,Old Report,2.68
 pokergrinderapp.com,Old Report,2.33
 polyatalexei.narod.ru,Old Report,2.83
 polytopia.io,Old Report,2.47
 postakodu.ptt.gov.tr,Old Report,2.56
 postcodebyaddress.co.uk,Old Report,2.31
 pregled,rs.com,2.00
 premierpoms.com,Old Report,2.60
 www.printicular.com,Old Report,2.40
 projectzante.com,Old Report,1.91
 ptxtherapy.com,Old Report,2.37
 publikationen.badw.de,Old Report,2.33
 www.purpleirisfoundation.com,Old Report,2.67
 pymairport.com,Old Report,3.12
 qemu.readthedocs.io,Old Report,2.98
 www.quizzingaustralia.org,Old Report,1.72
 quranwahadith.com,Old Report,2.87
 www.rodakorset.se,Old Report,3.00
 www.rettsyndrome.org,Old Report,2.29
 rgsilva.com,Old Report,2.87
 www.rickymartinmusic.com,Old Report,3.17
 riggertalk.com,Old Report,2.66
 rikumo.com,Old Report,2.68
 rio.upo.es,Old Report,2.72
 ripe,atlas,2.97
 robosoft.com.tr,Old Report,3.05
 rohanvarma.me,Old Report,3.03
 www.rolfdisch.de,Old Report,2.32
 roug.org,Old Report,2.00
 www.royensoc.co.uk,Old Report,3.00
 ruhabenjamin.com,Old Report,2.33
 runasradio.com,Old Report,2.92
 www.lrwt.org.uk,Old Report,2.81
 www.rvrcc.com,Old Report,2.86
 www.sacramentoartglass.com,Old Report,2.54
 www.salzburg,burgen.at,2.80
 www.santamonicabay.org,Old Report,2.14
 sauria.com,Old Report,2.73
 scarrowbeckbenefice.org.uk,Old Report,2.76
 scfestivalofflowers.org,Old Report,3.08
 play.google.com,Old Report,2.80
 selectedfirms.co,Old Report,2.23
 selleradise.com,Old Report,3.00
 senseikuapp.wordpress.com,Old Report,2.53
 shoa.com.ua,Old Report,2.79
 www.shoppurecam.com,Old Report,2.92
 www.silicon.co.uk,Old Report,2.33
 www.silvergames.com,Old Report,2.89
 sinproject.net,Old Report,2.50
 www.sistrix.com,Old Report,2.48
 skyscraper.org,Old Report,2.45
 www.sleeper.scot,Old Report,2.81
 smartgrid.epri.com,Old Report,3.81
 snob.ru,Old Report,2.45
 www.solita.fi,Old Report,2.75
 www.solvay.edu,Old Report,2.70
 soslc.lk,Old Report,2.21
 sso2.educamos.com,Old Report,2.63
 staxwp.com,Old Report,2.08
 stevebeck.tv,Old Report,2.75
 streetspirits.com,Old Report,3.00
 studio.apollographql.com,Old Report,2.47
 sumichem.co.in,Old Report,2.92
 www.fandom.com,Old Report,2.37
 swandolphin.com,Old Report,3.00
 swinburnearchive.indiana.edu,Old Report,2.57
 www.swls.org,Old Report,2.00
 szekelyhon.ro,Old Report,2.53
 tampabayhistorycenter.org,Old Report,1.51
 taylorbranch.com,Old Report,2.16
 www.teamwork.com,Old Report,2.40
 www.techzone360.com,Old Report,3.00
 thebanner.goodbarber.app,Old Report,2.75
 www.thebrickfan.com,Old Report,2.84
 thefifearms.com,Old Report,2.72
 www.theirishroadtrip.com,Old Report,2.13
 thelavinagency.com,Old Report,2.27
 themumblesbook.co.uk,Old Report,2.00
 www.theotherartfair.com,Old Report,2.62
 theplanets.org,Old Report,2.97
 thesaffrongael.com,Old Report,2.40
 www.thewinesociety.com,Old Report,1.67
 www.theyellowsparrow.com,Old Report,2.84
 timesteps.net,Old Report,2.96
 tinythreadpp.bitsnbites.eu,Old Report,2.00
 torr,penn.bzh,2.95
 townofashland.org,Old Report,2.42
 transparency.it,Old Report,3.00
 trevorrabin.net,Old Report,3.00
 www.trfinc.org,Old Report,2.42
 www.tribpub.com,Old Report,2.94
 turinghub.org,Old Report,2.54
 turnerphotographics.com,Old Report,3.18
 www.typingadventure.com,Old Report,2.26
 uaenews247.com,Old Report,2.22
 ucla.academicworks.com,Old Report,2.99
 ultracold.jqi.umd.edu,Old Report,2.89
 www.universityarchives.com,Old Report,2.77
 www.urbanplanet.org,Old Report,2.96
 usaindoor.runnerspace.com,Old Report,2.53
 usmcoc.org,Old Report,2.76
 ustour.thephantomoftheopera.com,Old Report,2.00
 uwf.edu,Old Report,2.00
 vadstenadirect.se,Old Report,2.80
 ps.vatrin.com,Old Report,2.65
 ve.wordpress.org,Old Report,2.86
 velocitynation.com,Old Report,2.62
 www.verifone.com,Old Report,2.58
 vernalcity.org,Old Report,2.56
 www.ververica.com,Old Report,2.33
 verzitex.com,Old Report,2.00
 www.viaggiareibalcani.it,Old Report,2.70
 voipsipsdk.com,Old Report,3.20
 volleyspike.com,Old Report,2.33
 walkmymind.com,Old Report,2.28
 wallery.app,Old Report,1.55
 wanfangdata.com.cn,Old Report,2.94
 archive.org,Old Report,3.14
 www.weareconvoy.com,Old Report,2.67
 www.webpak.net,Old Report,2.22
 astrein,vinotheke.de,2.69
 www.welcometosierraleone.org,Old Report,2.86
 www.westconf.net,Old Report,2.69
 wiki.laptop.org,Old Report,2.88
 www.winnipegfreepress.com,Old Report,2.66
 wmar2news.com,Old Report,1.60
 www.wonderlandmagazine.com,Old Report,2.45
 wordpress.dwbooster.com,Old Report,3.30
 worldscientific.com,Old Report,3.13
 worldyannews.com,Old Report,2.60
 wpbusinessreviews.com,Old Report,2.96
 wpmultistorelocator.com,Old Report,2.67
 wpswings.com,Old Report,2.06
 www.x3m.games,Old Report,2.88
 xyz,spolkacywilna.pl,2.62
 www.yabandmedia.com,Old Report,2.50
 ynlc.ca,Old Report,2.69
 yourei.jp,Old Report,2.94
 zachscott.com,Old Report,3.00
 www.zbozi.cz,Old Report,2.33
 zebrabook.bg,Old Report,2.13
 www.zuluwaterways.com,Old Report,2.21
 2021portugal.eu,New Report,2.50
 25hours,hotels.com,2.61
 432player.com,New Report,2.67
 5pillarsuk.com,New Report,2.26
 9voltinteractive.com,New Report,2.50
 aaai.org,New Report,2.67
 aacai.com.au,New Report,2.57
 abdou,nassur.org,2.89
 abhisoft.net,New Report,2.13
 abotx.org,New Report,2.29
 acid3.acidtests.org,New Report,2.00
 actualite.cd,New Report,3.01
 admission.gatech.edu,New Report,2.77
 afsinc.org,New Report,2.43
 ainmean,aite.scot,2.68
 airdrieirish.com,New Report,3.00
 allaladdin.ga,New Report,2.00
 allmedia.news,New Report,2.05
 allsummitcounty.com,New Report,2.41
 alphabank.bg,New Report,2.35
 amywhitney.co.uk,New Report,2.00
 anchor.fm,New Report,2.00
 andrewforoklahoma.com,New Report,2.75
 android.funqai.com,New Report,2.37
 app.agentsuccessapp.com,New Report,2.33
 app.data4life.care,New Report,2.50
 argentdata.com,New Report,2.23
 artcodes.co.uk,New Report,2.71
 artsdistrictla.org,New Report,2.68
 ascobans.org,New Report,2.57
 ask.fedoraproject.org,New Report,2.38
 askonasholt.com,New Report,2.56
 asms.advitsahdev.com,New Report,2.33
 aspen82.com,New Report,2.67
 aspirebridge.com,New Report,3.00
 astarmathsandphysics.com,New Report,2.86
 astellas.us,New Report,2.86
 astrein,vinotheke.de,2.55
 avpgalaxy.net,New Report,2.50
 awstats.sourceforge.net,New Report,2.63
 bakupages.com,New Report,2.94
 bankpapua.co.id,New Report,2.40
 barristerblogger.com,New Report,3.00
 bci.co.ck,New Report,3.39
 begalileo.com,New Report,2.27
 bekasikota.go.id,New Report,2.00
 benjaminloulier.com,New Report,2.04
 bestmodernchairs.com,New Report,2.71
 biblearchaeology.org,New Report,2.18
 bigappleshak.com,New Report,2.85
 bingu.net,New Report,2.53
 bizhankook.com,New Report,2.13
 blcklst.com,New Report,2.11
 blog.baeke.info,New Report,2.95
 blog.filmsupply.com,New Report,2.43
 blog.smile.io,New Report,2.40
 blog.spreendigital.de,New Report,2.22
 blowball.io,New Report,2.79
 bmp.ucla.edu,New Report,2.44
 bobspixels.com,New Report,2.17
 bphn.go.id,New Report,2.38
 bpvny.com,New Report,2.11
 bramptonmasons.com,New Report,2.40
 broadstreetmarket.org,New Report,2.00
 bryanplummer.com,New Report,2.37
 build.aol.com,New Report,3.00
 buy.ticketstothecity.com,New Report,2.29
 camaradellibro.com.uy,New Report,2.46
 canelatools.com,New Report,2.50
 capecoral.net,New Report,3.25
 caracolu.com,New Report,2.50
 carbonrationing.org.uk,New Report,2.70
 catholic,zhodzina.by,2.34
 ceafinney.com,New Report,2.00
 chargeplacescotland.org,New Report,2.57
 chateaudeblois.fr,New Report,2.00
 chennai.consulate.gov.au,New Report,2.23
 civity.nl,New Report,2.20
 cleanup.org.au,New Report,2.67
 coastalhazards.uprm.edu,New Report,2.00
 cobo.com,New Report,2.53
 concertsinbudapest.com,New Report,2.30
 conductortech.com,New Report,2.82
 conservative,news.org,2.82
 console.developers.google.com,New Report,2.00
 copypastatext.com,New Report,2.20
 coq.inria.fr,New Report,2.25
 corsetiere.net,New Report,2.31
 coveringcfl.net,New Report,2.08
 cpx.sagepub.com,New Report,3.75
 crocodilian.com,New Report,2.50
 crssd.com,New Report,2.10
 curvyyoga.com,New Report,2.57
 d4donline.com,New Report,2.80
 dashbot.io,New Report,2.64
 davidgolding.com,New Report,2.33
 dcchs.org,New Report,2.33
 dcresource.com,New Report,2.00
 dealer.olxautos.com.co,New Report,2.50
 deepgenes.com,New Report,2.81
 demetrimusic.com,New Report,2.46
 designerspics.com,New Report,2.33
 disfrutatokio.com,New Report,2.14
 diskpart.com,New Report,2.45
 dlib.indiana.edu,New Report,3.33
 dmiinternational.org,New Report,2.00
 dobanevinosti.blogspot.ca,New Report,2.52
 docs.behat.org,New Report,2.00
 dogcastradio.com,New Report,2.71
 dogodilose.com,New Report,2.00
 donpedrobrooklyn.com,New Report,2.57
 dontextraditeassange.com,New Report,2.93
 dorianneto.com.br,New Report,1.50
 dou.ua,New Report,2.68
 dozsurvival.com,New Report,2.20
 drakon,editor.sourceforge.net,2.01
 drgo.us,New Report,2.79
 dtf.ru,New Report,2.27
 ducugames.com,New Report,2.27
 e.huawei.com,New Report,2.83
 earthwatch.org,New Report,2.83
 eco.int,New Report,2.22
 econt.com,New Report,2.60
 edfilmfest.org.uk,New Report,2.51
 edu,librarian.com,2.50
 ejcotopeni2022.microplustimingservices.com,New Report,2.60
 eldalamberon.com,New Report,2.00
 eltaxi.app,New Report,2.50
 embeddedlt.github.io,New Report,2.92
 en.eghtesadonline.com,New Report,2.24
 engineering.klarna.com,New Report,2.71
 engineersireland.ie,New Report,2.61
 ericksontribune.com,New Report,2.00
 ertopen.com,New Report,3.24
 estatediamondjewelry.com,New Report,2.16
 ettagroup.ru,New Report,2.62
 etudesafricaines.revues.org,New Report,2.22
 
 everyday,beat.org,2.00
 eyehealthweb.com,New Report,2.85
 familytravel.com,New Report,2.00
 farm1.staticflickr.com,New Report,2.00
 fddb.org,New Report,2.65
 fh.huji.ac.il,New Report,2.75
 flashmob.dileque.si,New Report,2.50
 flseagrant.org,New Report,2.19
 focusmate.com,New Report,3.86
 folketidende.dk,New Report,3.21
 formahouse.co.uk,New Report,2.42
 fortadpays.com,New Report,3.50
 forwardjanesville.com,New Report,2.26
 foxsportswest.com,New Report,2.33
 freemodelfoundry.com,New Report,2.59
 freshservice.com,New Report,3.13
 frostburg.edu,New Report,2.44
 
 fuldamobil.de,New Report,2.22
 funnycide.com,New Report,2.78
 gadaibpkbmobil.finance,New Report,2.76
 games.ironequal.com,New Report,2.50
 garbageplate.com,New Report,2.25
 gen.xyz,New Report,1.81
 genomeribbon.com,New Report,2.62
 getchef.com,New Report,2.61
 getdetox.me,New Report,2.63
 giftcard.cl,New Report,2.96
 ginolabo.com,New Report,1.00
 globerunner.org,New Report,2.50
 gloubik.info,New Report,2.50
 golistelecom.com,New Report,2.26
 golm.org.uk,New Report,2.49
 grainger.tngenealogy.net,New Report,2.14
 greatriverconference.org,New Report,2.41
 greekshadows.com,New Report,2.00
 greengathering.org.uk,New Report,2.32
 grenoble,isere,2.67
 grimsoulgame.com,New Report,2.60
 group.canarywharf.com,New Report,2.30
 grow,it,2.22
 growveg.com,New Report,2.73
 gudangtekno.web.id,New Report,2.20
 hanshofmann.org,New Report,2.67
 happyfoto.de,New Report,3.08
 harbour.github.io,New Report,2.50
 haryanaassembly.gov.in,New Report,2.17
 hc.unicamp.br,New Report,2.68
 heat.csc.uvic.ca,New Report,1.80
 henan.china.com.cn,New Report,2.56
 hiberno,english.com,3.00
 hightownsch.net,New Report,2.56
 hiringourheroes.org,New Report,3.00
 historicdetroit.org,New Report,3.00
 historicgames.com,New Report,2.14
 hkt,starhomecall.com,2.48
 homesafety.honeywell.com,New Report,3.25
 honesttopaws.com,New Report,2.18
 hooters.com,New Report,2.79
